10.126.10.154,249e-ab9e-ebb0,18,D-16,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.10.249,d494-e818-65f3,18,D-16,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.10.238,9c7d-a37e-4551,16,D-16,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.10.239,9c7d-a39b-4565,20,D-16,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.10.75,643e-8c87-8ac1,17,D-16,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.10.71,4cf9-5d8b-13c1,20,D-16,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.10.105,643e-8c8f-b714,17,D-16,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.10.121,643e-8ca7-5b51,18,D-16,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.10.254,80d4-a5ab-a0c4,I,-,VE16/0/0.169,1005,169,CMI1-1005-0005-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
10.126.110.115,08c0-2161-c994,18,D-16,VE16/0/0.198,1005,198,CMI1-1005-0006-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI
10.126.210.244,ac61-7537-7448,19,D-16,VE16/0/0.198,1005,198,CMI1-1005-0006-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI
10.126.210.127,9ce3-7479-647f,20,D-16,VE16/0/0.198,1005,198,CMI1-1005-0006-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI
10.126.110.107,08c0-2161-c984,16,D-16,VE16/0/0.198,1005,198,CMI1-1005-0006-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI
10.126.110.254,80d4-a5ab-a0c4,I,-,VE16/0/0.198,1005,198,CMI1-1005-0006-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI
10.126.210.254,80d4-a5ab-a0c4,I,-,VE16/0/0.198,1005,198,CMI1-1005-0006-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI
10.126.5.9,0025-9ebb-1d77,20,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.16,0025-9e92-175a,16,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.8,0025-9e57-b546,16,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.15,0025-9e92-17d4,16,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.13,0025-9e91-eef1,20,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.12,0025-9e57-b5bc,18,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.23,0025-9e92-1656,17,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.37,5439-df15-3930,16,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.18,0025-9e6f-2580,20,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.143,9c7d-a398-589c,17,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.22,0025-9ea7-0f57,20,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.51,0025-9e92-1600,18,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.52,0025-9eab-18de,17,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.191,203d-b223-4022,17,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.190,34b3-54e7-8b72,19,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.21,0025-9e6f-261e,20,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.19,9c7d-a37e-41a1,19,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.48,0025-9e6f-257c,18,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.92,286e-d46d-f8af,17,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.254,80d4-a5ab-a0c4,I,-,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.7.254,80d4-a5ab-a0c4,I,-,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.11,0025-9e57-b5c2,18,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.5.10,0025-9e6f-252a,17,D-16,VE16/0/0.4,1005,4,CMI1-1005-0007-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
10.126.50.190,80d4-a5ab-a0c4,I,-,VE16/0/0.2,1005,2,CMI1-1005-0008-0000,INTERNAL-HUBSPOKE-SPOKE-1005-GW_TEMP_4001-36
10.126.50.254,80d4-a5ab-a0c4,I,-,VE16/0/0.2,1005,2,CMI1-1005-0008-0000,INTERNAL-HUBSPOKE-SPOKE-1005-GW_TEMP_4001-36
10.126.50.144,d4b1-10c1-8f2b,16,D-16,VE16/0/0.2,1005,2,CMI1-1005-0008-0000,INTERNAL-HUBSPOKE-SPOKE-1005-GW_TEMP_4001-36
10.126.50.163,d4b1-10cf-90aa,18,D-16,VE16/0/0.2,1005,2,CMI1-1005-0008-0000,INTERNAL-HUBSPOKE-SPOKE-1005-GW_TEMP_4001-36
10.126.150.13,0025-9ea7-1066,19,D-16,VE16/0/0.3,1005,3,CMI1-1005-0009-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
10.126.150.12,0025-9e6f-25e4,17,D-16,VE16/0/0.3,1005,3,CMI1-1005-0009-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
10.126.150.49,cccc-816f-ac0e,18,D-16,VE16/0/0.3,1005,3,CMI1-1005-0009-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
10.126.150.57,487b-6be4-798d,16,D-16,VE16/0/0.3,1005,3,CMI1-1005-0009-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
10.126.150.33,0025-9e92-15d2,20,D-16,VE16/0/0.3,1005,3,CMI1-1005-0009-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
10.126.150.62,80d4-a5ab-a0c4,I,-,VE16/0/0.3,1005,3,CMI1-1005-0009-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
10.126.250.254,80d4-a5ab-a0c4,I,-,VE16/0/0.3,1005,3,CMI1-1005-0009-0000,INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
10.138.3.159,34bf-9079-98ed,20,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.138.3.89,34bf-9078-f03d,20,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.138.3.167,34bf-9079-99f8,4,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.138.3.200,34bf-9079-a176,19,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.138.3.201,34bf-9079-a0ce,15,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.138.3.198,34bf-9079-97ee,11,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.138.3.152,34bf-9079-9814,16,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.138.3.153,34bf-9079-99ba,3,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.118.50.126,80d4-a5ab-a0c4,I,-,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.138.3.254,80d4-a5ab-a0c4,I,-,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
10.118.50.14,34bf-906f-8773,12,D-16,VE16/0/0.26,1084,26,CMI1-1084-0056-0000,INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
